Id,ParameterCode,Code,Hours,Weighted,ResultFactor,RelevantGap,MinRelevantGapRecords,Name,UseIndexValue,UseMaxValue,Description
1,PM10,PM10,24,FALSE,1,0,0,Material particulado menor a 10 micras,FALSE,FALSE,Promedio 24 horas
2,PM2.5,PM2.5,24,FALSE,1,0,0,Material particulado menor a 2.5 micras,FALSE,FALSE,Promedio 24 horas
4,CO,CO,24,FALSE,1,0,0,Monóxido de Carbono,TRUE,TRUE,Máximo promedio móvil de 8 horas
5,NO2,NO2,24,FALSE,1,0,0,Dióxido de Nitrógeno,TRUE,TRUE,Máximo horario
6,O3,O3,24,FALSE,1,0,0,Ozono,TRUE,TRUE,Máximo promedio horario
7,SO2,SO2,24,FALSE,1,0,0,Dióxido de Azufre,TRUE,TRUE,Máximo promedio horario
