ParameterCode,Min,Max
NO,-3.1,500
NO2,-3.1,500
NOx,-3.1,500
CO,-3.1,500
O3,-3.1,500
SO2,-3.1,500
PM10,-3.1,1000
PM2.5,-3.1,1000
VV,0,50
DV,0,360
TM,-10,360
HR,0,100
PB,500,800
RS,0,1500
PP,0,20
