IndexCode,CAP,COR,EPG,FEO,JOV,SJR
NO2,1,1,1,1,1,1
CO,1,1,1,1,1,1
O3,1,1,1,1,1,1
SO2,1,1,1,1,1,1
PM2.5,1,1,1,1,-1,1
PM10,1,-1,-1,-1,-1,-1
