Code,Name,TimeOffset,Id,Lat,Lng
CAP,Carrillo Puerto,0,7,20.610413,-100.438283
COR,Corregidora,0,12,20.552470,-100.445826
EPG,Epigmenio González,0,10,20.627538,-100.408622
FEO,Félix Osores,0,9,20.634935, -100.459333
JOV,Josefa Vergara,0,11,20.565872, -100.389247
SJR,San Juan del Río,0,4,20.390222, -99.991710
