CategoryId,GeneralPopulation,SensitivePopulation
1,El riesgo en salud es mínimo o nulo.,El riesgo en salud es mínimo o nulo.
2,El riesgo en salud es mínimo.,"Personas que son sensibles al ozono (O3) o material particulado (PM10 y PM2.5) pueden experimentar irritación de ojos y síntomas respiratorios como tos, irritación de vías respiratorias, expectoración o flema, dificultad para respirar o sibilancias."
3,Es poco probable que se vea afectada.,Incremento en el riesgo de tener síntomas respiratorios y/o disminución en la función pulmonar.
4,Se puede presentar daños a la salud.,"Pueden experimentar un agravamiento de asma, enfermedad pulmonar obstructiva crónica o evento cardiovascular e incremento en la probabilidad de muerte prematura en personas con enfermedad pulmonar obstructiva crónica y cardiaca."
5,Es más probable que cualquier persona se vea afectada por efectos graves a la salud.,Es más probable que cualquier persona se vea afectada por efectos graves a la salud.
